date,state,current,target
2017-02-10 09:16:33.397631,no job,54.1,71
2017-02-10 09:16:39.021946,no job,54,71
2017-02-10 09:16:44.655046,no job,54,71
2017-02-10 09:16:50.456999,no job,54,71
2017-02-10 09:16:56.132189,no job,53.9,71
2017-02-10 09:17:01.782984,no job,53.8,71
2017-02-10 09:17:07.458345,no job,53.8,71
2017-02-10 09:17:13.103433,no job,53.7,71
2017-02-10 09:17:18.728553,no job,53.7,71
2017-02-10 09:17:24.350101,no job,53.6,71
2017-02-10 09:17:30.071861,no job,53.6,71
2017-02-10 09:17:35.686332,no job,53.6,71
2017-02-10 09:17:41.269427,no job,53.5,71
2017-02-10 09:17:46.863907,no job,53.5,71
2017-02-10 09:17:52.649264,no job,53.4,71
2017-02-10 09:17:58.221807,no job,53.4,71
2017-02-10 09:18:03.812774,no job,53.4,71
2017-02-10 09:18:09.420862,no job,53.3,71
2017-02-10 09:18:14.973054,no job,53.3,71
2017-02-10 09:18:20.633145,no job,53.2,71
2017-02-10 09:18:26.217859,no job,53.2,71
2017-02-10 09:18:31.793830,no job,53.1,71
2017-02-10 09:18:37.388782,no job,53.1,71
2017-02-10 09:18:42.955635,no job,53.1,71
2017-02-10 09:18:48.556831,no job,53,71
2017-02-10 09:18:54.387362,no job,52.9,71
2017-02-10 09:19:00.022776,no job,52.9,71
2017-02-10 09:19:05.620605,no job,52.9,71
2017-02-10 09:19:11.265242,no job,52.8,71
2017-02-10 09:19:16.843029,no job,52.8,71
2017-02-10 09:19:22.543491,no job,52.7,71
2017-02-10 09:19:28.158145,no job,52.7,71
2017-02-10 09:19:33.720184,no job,52.7,71
2017-02-10 09:19:39.292090,no job,52.6,71
2017-02-10 09:19:44.896420,no job,52.6,71
2017-02-10 09:19:50.541955,no job,52.5,71
2017-02-10 09:19:56.557739,no job,52.5,71
2017-02-10 09:20:02.144665,no job,52.4,71
2017-02-10 09:20:07.845902,no job,52.4,71
2017-02-10 09:20:13.676187,no job,52.4,71
2017-02-10 09:20:19.252884,no job,52.3,71
2017-02-10 09:20:24.872742,no job,52.3,71
2017-02-10 09:20:30.480337,no job,52.2,71
2017-02-10 09:20:36.062238,no job,52.2,71
2017-02-10 09:20:41.632721,no job,52.1,71
2017-02-10 09:20:47.254465,no job,52.1,71
2017-02-10 09:20:52.837079,no job,52,71
2017-02-10 09:20:58.570048,no job,52,71
2017-02-10 09:21:04.223360,no job,52,71
2017-02-10 09:21:09.804734,no job,51.9,71
2017-02-10 09:21:15.394769,no job,51.9,71
2017-02-10 09:21:21.717006,no job,51.8,71
2017-02-10 09:29:07.595911,no job,48.7,71
2017-02-10 09:29:13.222761,no job,48.7,71
2017-02-10 09:29:18.831077,no job,48.6,71
2017-02-10 09:29:24.446784,no job,48.6,71
2017-02-10 09:29:31.089607,no job,48.6,71
2017-02-10 09:29:36.672185,no job,48.5,71
2017-02-10 09:29:42.247010,no job,48.5,71
2017-02-10 09:29:47.805100,no job,48.5,71
2017-02-10 09:29:53.434890,no job,48.4,71
2017-02-10 09:29:58.976597,no job,48.4,71
2017-02-10 09:30:04.547442,no job,48.3,71
2017-02-10 09:30:10.617792,no job,48.3,71
